Year Published,Unit Code,Unit Name,Item,,2023-2024,2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2011 Target,2013 Target
FY2024,1A1-NA-NA3-358,Special Events,1625,Academic Profnl Headcount,1,1,1,,,,,,,,,
FY2024,1A1-NA-NA3-395,News Bureau,1602,Academic Staff Headcount,6,7,7,8,8,9,9,9,10,9,,
FY2024,1A1-NA-NA3-395,News Bureau,1625,Academic Profnl Headcount,6,7,7,8,8,9,9,9,10,9,,
FY2024,1A1-NA-XXX-XXX,Chancellor,1602,Academic Staff Headcount,50,46,52,61,63,63,59,57,87,85,,
FY2024,1A1-NA-XXX-XXX,Chancellor,1625,Academic Profnl Headcount,46,42,48,60,62,62,57,55,84,82,,
FY2024,1A1-NU-NU0-296,State Farm Center,1602,Academic Staff Headcount,4,4,5,6,8,8,8,6,6,6,,
FY2024,1A1-NU-NU0-296,State Farm Center,1625,Academic Profnl Headcount,4,4,5,6,8,8,8,6,6,6,,
FY2024,1A1-NU-NU0-336,Intercollegiate Athletics,1602,Academic Staff Headcount,217,211,200,203,208,212,197,191,185,181,,
FY2024,1A1-NU-NU0-336,Intercollegiate Athletics,1625,Academic Profnl Headcount,217,211,200,203,208,212,197,191,185,181,,
FY2024,1A1-NU-XXX-XXX,Intercollegiate Athletics,1602,Academic Staff Headcount,221,215,205,209,216,220,205,197,191,187,,
FY2024,1A1-NU-XXX-XXX,Intercollegiate Athletics,1625,Academic Profnl Headcount,221,215,205,209,216,220,205,197,191,187,,
FY2024,1A1-XX-XXX-XXX,Chancellor Admin Rollup,1602,Academic Staff Headcount,271,261,257,270,279,290,268,258,283,277,,
FY2024,1A1-XX-XXX-XXX,Chancellor Admin Rollup,1625,Academic Profnl Headcount,267,257,253,269,278,289,266,256,280,274,,
FY2024,1B1-KL-KL0-306,ACES courses,1602,Academic Staff Headcount,,,,,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,1625,Academic Profnl Headcount,,,,,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9520,% Sections using ICES,,54.5,43.6,46.3,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9560,Top 10% Faculty,,12,12,0,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9580,Next 20% Faculty,,0,12,15,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9600,Middle 40% Faculty,,35,53,38,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9620,Next 20% Faculty,,41,18,31,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9640,Bottom 10% Faculty,,12,6,15,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9680,Top 10% TA,,0,,0,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9700,Next 20% TA,,0,,0,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9720,Middle 40% TA,,100,,67,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9740,Next 20% TA,,0,,33,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9760,Bottom 10% TA,,0,,0,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,1602,Academic Staff Headcount,6,4,4,7,5,4,6,5,6,8,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,1625,Academic Profnl Headcount,0,0,0,0,0,0,0,0,0,0,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9520,% Sections using ICES,,63.2,66.2,65.6,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9560,Top 10% Faculty,,6,6,3,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9580,Next 20% Faculty,,13,24,9,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9600,Middle 40% Faculty,,68,45,52,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9620,Next 20% Faculty,,10,15,36,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9640,Bottom 10% Faculty,,3,9,0,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9680,Top 10% TA,,20,0,0,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9700,Next 20% TA,,20,20,0,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9720,Middle 40% TA,,20,40,33,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9740,Next 20% TA,,40,30,56,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9760,Bottom 10% TA,,0,10,11,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,1602,Academic Staff Headcount,3,3,3,4,5,23,25,24,28,30,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,1625,Academic Profnl Headcount,3,3,3,4,5,23,25,24,28,30,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9560,Top 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9580,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9600,Middle 40% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9620,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9640,Bottom 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9680,Top 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9700,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9720,Middle 40% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9740,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9760,Bottom 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,1602,Academic Staff Headcount,261,228,229,237,229,227,234,240,235,224,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,1625,Academic Profnl Headcount,260,227,228,236,228,227,233,238,234,222,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9560,Top 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9580,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9600,Middle 40% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9620,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9640,Bottom 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9680,Top 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9700,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9720,Middle 40% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9740,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9760,Bottom 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,1602,Academic Staff Headcount,0,0,0,0,0,0,0,0,0,0,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,1625,Academic Profnl Headcount,0,0,0,0,0,0,0,0,0,0,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9560,Top 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9580,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9600,Middle 40% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9620,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9640,Bottom 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9680,Top 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9700,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9720,Middle 40% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9740,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9760,Bottom 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,1602,Academic Staff Headcount,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,1625,Academic Profnl Headcount,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9560,Top 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9580,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9600,Middle 40% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9620,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9640,Bottom 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9680,Top 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9700,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9720,Middle 40% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9740,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9760,Bottom 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,1602,Academic Staff Headcount,62,58,57,69,65,74,72,72,65,65,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,1625,Academic Profnl Headcount,16,16,18,25,27,33,32,29,23,23,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9520,% Sections using ICES,,70.1,81.2,71.7,37,76.6,65.5,73.9,75.5,84.9,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9560,Top 10% Faculty,,8,11,6,8,16,19,25,10,13,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9580,Next 20% Faculty,,18,17,25,42,36,34,24,32,25,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9600,Middle 40% Faculty,,43,52,39,35,34,33,35,35,40,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9620,Next 20% Faculty,,26,16,21,15,10,10,12,16,17,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9640,Bottom 10% Faculty,,4,5,10,0,5,4,3,7,6,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9680,Top 10% TA,,3,22,7,5,10,5,5,17,15,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9700,Next 20% TA,,28,31,33,21,23,26,20,13,18,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9720,Middle 40% TA,,50,35,44,63,40,42,50,30,38,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9740,Next 20% TA,,16,12,11,5,27,11,20,30,21,,
FY2024,1B1-KL-KL0-470,Agricultural & Consumer Econ,9760,Bottom 10% TA,,3,0,4,5,0,16,5,9,9,,
FY2024,1B1-KL-KL0-483,ACES Admin,1602,Academic Staff Headcount,48,43,47,54,56,48,43,44,49,45,,
FY2024,1B1-KL-KL0-483,ACES Admin,1625,Academic Profnl Headcount,42,37,42,48,51,45,39,39,42,40,,
FY2024,1B1-KL-KL0-483,ACES Admin,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-483,ACES Admin,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-483,ACES Admin,9560,Top 10% Faculty,,,,,47,43,0,0,0,0,,
FY2024,1B1-KL-KL0-483,ACES Admin,9580,Next 20% Faculty,,,,,41,36,33,67,20,0,,
FY2024,1B1-KL-KL0-483,ACES Admin,9600,Middle 40% Faculty,,,,,6,21,33,0,40,67,,
FY2024,1B1-KL-KL0-483,ACES Admin,9620,Next 20% Faculty,,,,,6,0,33,33,20,33,,
FY2024,1B1-KL-KL0-483,ACES Admin,9640,Bottom 10% Faculty,,,,,0,0,0,0,20,0,,
FY2024,1B1-KL-KL0-483,ACES Admin,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-483,ACES Admin,9680,Top 10% TA,,,,,0,20,,0,,20,,
FY2024,1B1-KL-KL0-483,ACES Admin,9700,Next 20% TA,,,,,33,40,,0,,47,,
FY2024,1B1-KL-KL0-483,ACES Admin,9720,Middle 40% TA,,,,,33,40,,0,,7,,
FY2024,1B1-KL-KL0-483,ACES Admin,9740,Next 20% TA,,,,,33,0,,100,,7,,
FY2024,1B1-KL-KL0-483,ACES Admin,9760,Bottom 10% TA,,,,,0,0,,0,,20,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,1602,Academic Staff Headcount,,2,2,2,2,3,4,3,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,1625,Academic Profnl Headcount,,2,2,2,2,3,3,2,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9560,Top 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9580,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9600,Middle 40% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9620,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9640,Bottom 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9680,Top 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9700,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9720,Middle 40% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9740,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-521,ADM Institute for PHL,9760,Bottom 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-538,Animal Sciences,1602,Academic Staff Headcount,80,84,92,94,100,94,95,87,95,90,,
FY2024,1B1-KL-KL0-538,Animal Sciences,1625,Academic Profnl Headcount,23,23,28,29,37,35,32,21,22,23,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9520,% Sections using ICES,,56.3,58.7,79,22.1,48.1,45.2,48,51.7,54.6,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9560,Top 10% Faculty,,9,6,6,23,31,25,30,25,23,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9580,Next 20% Faculty,,16,18,19,40,29,25,30,37,38,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9600,Middle 40% Faculty,,51,50,47,23,28,36,29,26,21,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9620,Next 20% Faculty,,21,17,19,7,6,13,11,9,15,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9640,Bottom 10% Faculty,,3,8,8,7,6,2,0,3,3,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9680,Top 10% TA,,0,31,21,50,38,29,0,22,18,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9700,Next 20% TA,,0,15,14,33,23,29,17,22,36,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9720,Middle 40% TA,,40,15,57,17,38,14,67,33,27,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9740,Next 20% TA,,60,38,7,0,0,29,17,11,18,,
FY2024,1B1-KL-KL0-538,Animal Sciences,9760,Bottom 10% TA,,0,0,0,0,0,0,0,11,0,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,1602,Academic Staff Headcount,45,46,47,48,48,53,51,50,52,50,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,1625,Academic Profnl Headcount,7,7,6,7,8,8,12,14,14,13,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9520,% Sections using ICES,,69.6,55.3,64.9,34.2,95.7,93.7,88.8,98.1,98.1,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9560,Top 10% Faculty,,7,3,4,24,20,8,14,8,17,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9580,Next 20% Faculty,,8,13,16,27,33,31,26,23,19,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9600,Middle 40% Faculty,,50,44,38,41,36,53,47,55,51,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9620,Next 20% Faculty,,23,31,35,8,12,7,6,11,11,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9640,Bottom 10% Faculty,,12,10,6,0,0,1,7,3,1,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9680,Top 10% TA,,6,0,7,38,31,17,22,4,41,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9700,Next 20% TA,,12,11,7,23,39,33,43,29,21,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9720,Middle 40% TA,,59,44,37,23,22,40,35,50,29,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9740,Next 20% TA,,12,22,33,15,6,3,0,14,6,,
FY2024,1B1-KL-KL0-698,Food Sci & Human Nutrition,9760,Bottom 10% TA,,12,22,17,0,3,7,0,4,3,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,1602,Academic Staff Headcount,56,52,43,43,38,42,37,37,37,39,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,1625,Academic Profnl Headcount,21,19,14,14,12,13,10,11,8,10,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9520,% Sections using ICES,,59.6,54.6,62.8,66.1,109.2,135.4,118.6,118.4,104,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9560,Top 10% Faculty,,9,8,15,17,13,15,20,20,16,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9580,Next 20% Faculty,,34,37,33,9,18,28,18,29,25,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9600,Middle 40% Faculty,,38,47,39,55,43,43,37,40,41,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9620,Next 20% Faculty,,15,8,11,15,17,12,20,10,12,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9640,Bottom 10% Faculty,,4,0,2,4,9,3,5,1,6,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9680,Top 10% TA,,5,0,0,28,15,15,33,18,40,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9700,Next 20% TA,,38,38,55,17,24,29,10,25,20,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9720,Middle 40% TA,,19,50,32,31,46,54,33,40,40,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9740,Next 20% TA,,38,0,9,14,15,2,21,10,0,,
FY2024,1B1-KL-KL0-741,Agr & Biological Engineering,9760,Bottom 10% TA,,0,13,5,10,0,0,2,8,0,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,1602,Academic Staff Headcount,44,71,76,72,75,73,65,69,73,76,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,1625,Academic Profnl Headcount,17,43,47,47,52,47,42,47,48,50,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9520,% Sections using ICES,,94.9,89.4,96.6,49,84.9,79.8,88.4,84.8,94,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9560,Top 10% Faculty,,2,0,2,45,43,30,35,20,22,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9580,Next 20% Faculty,,10,10,0,10,22,38,25,39,29,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9600,Middle 40% Faculty,,33,36,48,31,25,23,33,29,34,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9620,Next 20% Faculty,,37,26,31,14,10,9,7,7,8,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9640,Bottom 10% Faculty,,18,29,19,0,0,0,0,5,7,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9680,Top 10% TA,,0,2,0,5,25,21,14,7,9,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9700,Next 20% TA,,9,12,9,47,21,33,45,39,37,,
FY2024,1B1-KL-KL0-793,Human Dvlpmnt & Family Stud,9720,Middle 40% TA,,23,47,48,42,43,42,31,32,51,,
